/usr/java/bin/java -XX:MaxRAMPercentage=85.0 -cp /binary/ycsb/mongodb-binding/conf:/binary/ycsb/conf:/binary/ycsb/lib/jackson-core-asl-1.9.4.jar:/binary/ycsb/lib/core-0.18.0-SNAPSHOT.jar:/binary/ycsb/lib/jackson-mapper-asl-1.9.4.jar:/binary/ycsb/lib/HdrHistogram-2.1.4.jar:/binary/ycsb/lib/htrace-core4-4.1.0-incubating.jar:/binary/ycsb/mongodb-binding/lib/logback-classic-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongo-java-driver-3.11.0.jar:/binary/ycsb/mongodb-binding/lib/mongodb-async-driver-2.0.1.jar:/binary/ycsb/mongodb-binding/lib/logback-core-1.1.2.jar:/binary/ycsb/mongodb-binding/lib/mongodb-binding-0.18.0-SNAPSHOT.jar:/binary/ycsb/mongodb-binding/lib/snappy-java-1.1.7.1.jar:/binary/ycsb/mongodb-binding/lib/slf4j-api-1.7.25.jar site.ycsb.Client -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-m-calibration-shard-00-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-00-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-00-02.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-02.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-02.w3sa1.mongodb.net:27016/?ssl=true&authSource=admin&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 100 -p recordcount=1000000000 -p operationcount=999900000 -target 12000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=hotspot -p hotspotdatafraction=0.013 -p hotspotopnfraction=0.95 -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
Command line: -db site.ycsb.db.MongoDbClient -s -p mongodb.url=mongodb://benchant:BareRebel2022@mongodb-m-calibration-shard-00-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-00-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-00-02.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-02.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-02.w3sa1.mongodb.net:27016/?ssl=true&authSource=admin&w=majority&j=true&readPreference=primary -p batchsize=1 -p workload=site.ycsb.workloads.CoreWorkload -p maxexecutiontime=1800 -threads 100 -p recordcount=1000000000 -p operationcount=999900000 -target 12000 -p fieldcount=10 -p fieldlength=100 -p requestdistribution=hotspot -p hotspotdatafraction=0.013 -p hotspotopnfraction=0.95 -p insertorder=ordered -p readproportion=0.95 -p updateproportion=0.05 -p insertproportion=0.0 -p scanproportion=0.0 -p maxscanlength=1000 -p scanlengthdistribution=uniform -p measurementtype=hdrhistogram -p hdrhistogram.fileoutput=true -p hdrhistogram.output.path=/home/developer/results/ -t
YCSB Client 0.18.0-SNAPSHOT

Loading workload...
Starting test.
Maximum execution time specified as: 1800 secs
2023-05-08 14:30:55:458 0 sec: 0 operations; est completion in 0 second 
14:30:55.578 [Thread-9] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
14:30:55.578 [Thread-9] WARN  org.mongodb.driver.uri - Uri option 'j' has been deprecated, use 'journal' instead.
mongo client connection created with mongodb://benchant:BareRebel2022@mongodb-m-calibration-shard-00-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-00-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-00-02.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-01-02.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-00.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-01.w3sa1.mongodb.net:27016,mongodb-m-calibration-shard-02-02.w3sa1.mongodb.net:27016/?ssl=true&authSource=admin&w=majority&j=true&readPreference=primary
DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2023-05-08 14:31:05:443 10 sec: 115970 operations; 11597 current ops/sec; est completion in 23 hours 56 minutes [READ: Count=110174, Max=1701887, Min=1367, Avg=6304.19, 90=7243, 99=55071, 99.9=140671, 99.99=1685503] [UPDATE: Count=5829, Max=1695743, Min=3874, Avg=16611.68, 90=31423, 99=79167, 99.9=135679, 99.99=1687551] 
2023-05-08 14:31:15:443 20 sec: 235967 operations; 11999.7 current ops/sec; est completion in 23 hours 32 minutes [READ: Count=113954, Max=22767, Min=1305, Avg=2416.85, 90=3181, 99=5511, 99.9=10783, 99.99=16447] [UPDATE: Count=6034, Max=69567, Min=3862, Avg=7404.27, 90=9983, 99=19759, 99.9=57279, 99.99=68223] [READ-FAILED: Count=1, Max=2733, Min=2732, Avg=2733, 90=2733, 99=2733, 99.9=2733, 99.99=2733] 
2023-05-08 14:31:25:443 30 sec: 355966 operations; 11999.9 current ops/sec; est completion in 23 hours 24 minutes [READ: Count=113964, Max=27023, Min=1339, Avg=2427.5, 90=3193, 99=5423, 99.9=10343, 99.99=17215] [UPDATE: Count=6036, Max=43263, Min=3932, Avg=7129.96, 90=9383, 99=17151, 99.9=32079, 99.99=42847] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:31:35:443 40 sec: 475966 operations; 12000 current ops/sec; est completion in 23 hours 19 minutes [READ: Count=113999, Max=31647, Min=1284, Avg=2411.7, 90=3161, 99=5403, 99.9=10607, 99.99=17231] [UPDATE: Count=5997, Max=35935, Min=3840, Avg=7149.09, 90=9503, 99=17839, 99.9=27231, 99.99=30079] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:31:45:443 50 sec: 595973 operations; 12000.7 current ops/sec; est completion in 23 hours 17 minutes [READ: Count=113920, Max=55391, Min=1290, Avg=2560.16, 90=3435, 99=7475, 99.9=17247, 99.99=35839] [UPDATE: Count=6083, Max=265215, Min=3960, Avg=8648.63, 90=11095, 99=30031, 99.9=252159, 99.99=262655] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:31:55:443 60 sec: 715967 operations; 11999.4 current ops/sec; est completion in 23 hours 15 minutes [READ: Count=113957, Max=178431, Min=1356, Avg=2973.9, 90=3979, 99=12927, 99.9=59839, 99.99=75903] [UPDATE: Count=6038, Max=433151, Min=3868, Avg=13932.33, 90=16767, 99=231935, 99.9=386303, 99.99=415487] [READ-FAILED: Count=1, Max=2069, Min=2068, Avg=2069, 90=2069, 99=2069, 99.9=2069, 99.99=2069] 
2023-05-08 14:32:05:443 70 sec: 835969 operations; 12000.2 current ops/sec; est completion in 23 hours 14 minutes [READ: Count=113857, Max=41887, Min=1341, Avg=2631.33, 90=3591, 99=8295, 99.9=17455, 99.99=30015] [UPDATE: Count=6145, Max=74815, Min=4022, Avg=9209.14, 90=13943, 99=47615, 99.9=67519, 99.99=74623] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:32:15:443 80 sec: 955969 operations; 12000 current ops/sec; est completion in 23 hours 13 minutes [READ: Count=114087, Max=168959, Min=1294, Avg=2699.36, 90=3689, 99=9391, 99.9=21119, 99.99=45503] [UPDATE: Count=5915, Max=215679, Min=3884, Avg=12228.53, 90=23103, 99=80383, 99.9=191615, 99.99=212607] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:32:25:443 90 sec: 1075970 operations; 12000.1 current ops/sec; est completion in 23 hours 12 minutes [READ: Count=114076, Max=31279, Min=1328, Avg=2464.4, 90=3281, 99=5747, 99.9=11727, 99.99=20479] [UPDATE: Count=5912, Max=85503, Min=3988, Avg=7578.02, 90=10135, 99=25039, 99.9=68799, 99.99=84031] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:32:35:443 100 sec: 1195975 operations; 12000.5 current ops/sec; est completion in 23 hours 11 minutes [READ: Count=113916, Max=27471, Min=1287, Avg=2429.93, 90=3213, 99=5331, 99.9=10655, 99.99=19423] [UPDATE: Count=6088, Max=31503, Min=3770, Avg=6976.91, 90=9111, 99=16223, 99.9=25599, 99.99=31439] [READ-FAILED: Count=1, Max=2041, Min=2041, Avg=2041, 90=2041, 99=2041, 99.9=2041, 99.99=2041] 
2023-05-08 14:32:45:443 110 sec: 1315971 operations; 11999.6 current ops/sec; est completion in 23 hours 11 minutes [READ: Count=114076, Max=21071, Min=1313, Avg=2408.69, 90=3165, 99=5183, 99.9=10239, 99.99=16039] [UPDATE: Count=5932, Max=64479, Min=3802, Avg=7582, 90=10695, 99=21375, 99.9=30687, 99.99=59231] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:32:55:443 120 sec: 1435972 operations; 12000.1 current ops/sec; est completion in 23 hours 10 minutes [READ: Count=113892, Max=32271, Min=1283, Avg=2388.66, 90=3143, 99=4959, 99.9=8327, 99.99=14271] [UPDATE: Count=6101, Max=34559, Min=3938, Avg=6746.39, 90=8743, 99=14095, 99.9=26623, 99.99=32895] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:33:05:443 130 sec: 1555969 operations; 11999.7 current ops/sec; est completion in 23 hours 10 minutes [READ: Count=113975, Max=59679, Min=1325, Avg=2453.87, 90=3261, 99=5723, 99.9=13159, 99.99=21151] [UPDATE: Count=6030, Max=44511, Min=3716, Avg=7089.59, 90=9295, 99=19471, 99.9=30735, 99.99=40351] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:33:15:443 140 sec: 1675973 operations; 12000.4 current ops/sec; est completion in 23 hours 9 minutes [READ: Count=113948, Max=29087, Min=1310, Avg=2505.23, 90=3389, 99=6251, 99.9=12591, 99.99=22575] [UPDATE: Count=6049, Max=58431, Min=3938, Avg=7613.75, 90=10343, 99=20159, 99.9=51839, 99.99=57695] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:33:25:443 150 sec: 1795591 operations; 11961.8 current ops/sec; est completion in 23 hours 9 minutes [READ: Count=113716, Max=82495, Min=1322, Avg=2655.69, 90=3649, 99=8103, 99.9=17967, 99.99=47903] [UPDATE: Count=5891, Max=176383, Min=3930, Avg=8478.05, 90=11647, 99=34751, 99.9=71295, 99.99=174975] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:33:35:443 160 sec: 1915968 operations; 12037.7 current ops/sec; est completion in 23 hours 9 minutes [READ: Count=114377, Max=175231, Min=1378, Avg=3274.3, 90=4655, 99=17711, 99.9=61855, 99.99=91199] [UPDATE: Count=6011, Max=440063, Min=3638, Avg=31842.99, 90=48927, 99=344831, 99.9=413439, 99.99=425215] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
2023-05-08 14:33:45:443 170 sec: 2035968 operations; 12000 current ops/sec; est completion in 23 hours 8 minutes [READ: Count=113993, Max=55103, Min=1355, Avg=2594, 90=3515, 99=7895, 99.9=16911, 99.99=26895] [UPDATE: Count=6005, Max=188927, Min=3832, Avg=8629.26, 90=11855, 99=29951, 99.9=163583, 99.99=183423] [READ-FAILED: Count=1, Max=1898, Min=1898, Avg=1898, 90=1898, 99=1898, 99.9=1898, 99.99=1898] 
2023-05-08 14:33:55:443 180 sec: 2155963 operations; 11999.5 current ops/sec; est completion in 23 hours 8 minutes [READ: Count=114107, Max=97087, Min=1298, Avg=2643.57, 90=3577, 99=8863, 99.9=20495, 99.99=40095] [UPDATE: Count=5898, Max=315135, Min=3818, Avg=17911.21, 90=27071, 99=226943, 99.9=299775, 99.99=310783] [READ-FAILED: Count=1, Max=2675, Min=2674, Avg=2675, 90=2675, 99=2675, 99.9=2675, 99.99=2675] 
2023-05-08 14:34:05:443 190 sec: 2275973 operations; 12001 current ops/sec; est completion in 23 hours 8 minutes [READ: Count=114022, Max=22847, Min=1320, Avg=2388.52, 90=3135, 99=4979, 99.9=8511, 99.99=14695] [UPDATE: Count=5979, Max=39295, Min=3614, Avg=6767.38, 90=8855, 99=14919, 99.9=23503, 99.99=37567] [READ-FAILED: Count=0, Max=0, Min=9223372036854775807, Avg=?, 90=0, 99=0, 99.9=0, 99.99=0] 
